Index,Word,Usage,Word Length
344,essay,8,5
345,father,8,6
346,finance,8,7
347,juice,8,5
348,limit,8,5
349,mixed,8,5
350,mouth,8,5
351,please,8,6
352,stable,8,6
353,storm,8,5
354,anticipate,7,10
355,assume,7,6
356,engage,7,6
357,enhance,7,7
358,examine,7,7
359,install,7,7
360,participate,7,11
361,count,7,5
362,doubt,7,5
363,impress,7,7
364,repeat,7,6
365,slide,7,5
366,strip,7,5
367,amazing,7,7
368,beach,7,5
369,blank,7,5
370,catch,7,5
371,chain,7,5
372,cream,7,5
373,detail,7,6
374,detailed,7,8
375,interview,7,9
376,match,7,5
377,pleasure,7,8
378,score,7,5
379,screw,7,5
380,sharp,7,5
381,shower,7,6
382,window,7,6
383,intend,6,6
384,introduce,6,9
385,relate,6,6
386,settle,6,6
387,collect,6,7
388,combine,6,7
389,command,6,7
390,divide,6,6
391,march,6,5
392,mention,6,7
393,smell,6,5
394,survey,6,6
395,block,6,5
396,calendar,6,8
397,contest,6,7
398,court,6,5
399,district,6,8
400,finger,6,6
401,garage,6,6
402,guarantee,6,9
403,implement,6,9
404,layer,6,5
405,lecture,6,7
406,married,6,7
407,narrow,6,6
408,partner,6,7
409,profile,6,7
410,respect,6,7
411,schedule,6,8
412,telephone,6,9
413,assure,5,6
414,attract,5,7
415,distribute,5,10
416,overcome,5,8
417,succeed,5,7
418,suffer,5,6
419,throw,5,5
420,escape,5,6
421,expose,5,6
422,gather,5,6
423,repair,5,6
424,scratch,5,7
425,strike,5,6
426,battle,5,6
427,bother,5,6
428,curve,5,5
429,dimension,5,9
430,fight,5,5
431,grade,5,5
432,horse,5,5
433,husband,5,7
434,mistake,5,7
435,noise,5,5
436,occasion,5,8
437,package,5,7
438,pause,5,5
439,phrase,5,6
440,sentence,5,8
441,shoulder,5,8
442,smoke,5,5
443,stomach,5,7
444,string,5,6
445,surprised,5,9
446,towel,5,5
447,vacation,5,8
448,wheel,5,5
449,acquire,4,7
450,adapt,4,5
451,adjust,4,6
452,argue,4,5
453,arise,4,5
454,confirm,4,7
455,encouraging,4,11
456,incorporate,4,11
457,justify,4,7
458,organize,4,8
459,ought,4,5
460,possess,4,7
461,relieve,4,7
462,retain,4,6
463,employ,4,6
464,laugh,4,5
465,respond,4,7
466,split,4,5
467,strain,4,6
468,struggle,4,8
469,train,4,5
470,waste,4,5
471,associate,4,9
472,border,4,6
473,branch,4,6
474,breast,4,6
475,buddy,4,5
476,bunch,4,5
477,coach,4,5
478,cross,4,5
479,document,4,8
480,draft,4,5
481,floor,4,5
482,habit,4,5
483,judge,4,5
484,knife,4,5
485,landscape,4,9
486,league,4,6
487,parent,4,6
488,pattern,4,7
489,pound,4,5
490,request,4,7
491,salary,4,6
492,shame,4,5
493,shelter,4,7
494,tackle,4,6
495,trust,4,5
496,calculate,3,9
497,compete,3,7
498,consult,3,7
499,deliver,3,7
500,extend,3,6
501,investigate,3,11
502,negotiate,3,9
503,qualify,3,7
504,retire,3,6
505,weigh,3,5
506,convert,3,7
507,crash,3,5
508,permit,3,6
509,quote,3,5
510,recover,3,7
511,resolve,3,7
512,suspect,3,7
513,swing,3,5
514,twist,3,5
515,assist,3,6
516,blame,3,5
517,brick,3,5
518,chair,3,5
519,closet,3,6
520,collar,3,6
521,comment,3,7
522,conference,3,10
523,devil,3,5
524,glove,3,5
525,jacket,3,6
526,lunch,3,5
527,monitor,3,7
528,mortgage,3,8
529,nurse,3,5
530,panic,3,5
531,provided,3,8
532,reward,3,6
533,sandwich,3,8
534,shock,3,5
535,spite,3,5
536,spray,3,5
537,surprise,3,8
538,transition,3,10
539,weekend,3,7
540,arrive,2,6
541,attach,2,6
542,behave,2,6
543,celebrate,2,9
544,convince,2,8
545,disagree,2,8
546,establish,2,9
547,ignore,2,6
548,imply,2,5
549,insist,2,6
550,pursue,2,6
551,remaining,2,9
552,specify,2,7
553,concentrate,2,11
554,estimate,2,8
555,prompt,2,6
556,refuse,2,6
557,regret,2,6
558,reveal,2,6
559,shake,2,5
560,shift,2,5
561,shine,2,5
562,steal,2,5
563,surround,2,8
564,alarm,2,5
565,bicycle,2,7
566,blind,2,5
567,bottle,2,6
568,cable,2,5
569,candle,2,6
570,clerk,2,5
571,cloud,2,5
572,concert,2,7
573,counter,2,7
574,dirty,2,5
575,flower,2,6
576,grandfather,2,11
577,lawyer,2,6
578,loose,2,5
579,mirror,2,6
580,pension,2,7
581,plate,2,5
582,pleased,2,7
583,proposed,2,8
584,skirt,2,5
585,slice,2,5
586,stroke,2,6
587,switch,2,6
588,tired,2,5
589,trash,2,5
590,worried,2,7
591,accuse,1,6
592,admire,1,6
593,admit,1,5
594,adopt,1,5
595,announce,1,8
596,apologize,1,9
597,approve,1,7
598,attend,1,6
599,belong,1,6
600,commit,1,6
601,criticize,1,9
602,deserve,1,7
603,destroy,1,7
604,hesitate,1,8
605,illustrate,1,10
606,inform,1,6
607,manufacturing,1,13
608,persuade,1,8
609,propose,1,7
610,remind,1,6
611,shall,1,5
612,submit,1,6
613,suppose,1,7
614,translate,1,9
615,delay,1,5
616,hurry,1,5
617,invite,1,6
618,marry,1,5
619,pretend,1,7
620,punch,1,5
621,reply,1,5
622,resist,1,6
623,smile,1,5
624,spell,1,5
625,stretch,1,7
626,anger,1,5
627,award,1,5
628,candy,1,5
629,carpet,1,6
630,champion,1,8
631,channel,1,7
632,clock,1,5
633,comfort,1,7
634,crack,1,5
635,disappointed,1,12
636,empty,1,5
637,engineer,1,8
638,entrance,1,8
639,fault,1,5
640,grass,1,5
641,highlight,1,9
642,island,1,6
643,nerve,1,5
644,passage,1,7
645,pride,1,5
646,priest,1,6
647,promise,1,7
648,resort,1,6
649,scheme,1,6
650,script,1,6
651,slight,1,6
652,smart,1,5
653,station,1,7
654,tower,1,5
655,truck,1,5
656,witness,1,7
